epoch,accuracy,auc,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.9171666502952576,0.9734808206558228,9.999999747378752e-06,0.20856018364429474,0.91426682472229,0.9206666946411133,0.5,0.921875,1.6882656812667847,0.5,1.0
1,0.940666675567627,0.9875215888023376,9.999999747378752e-06,0.14072611927986145,0.9445191621780396,0.9363333582878113,0.5,0.78125,1.9151875972747803,0.5,1.0
2,0.9589999914169312,0.9922725558280945,9.999999747378752e-06,0.10939686000347137,0.9611520171165466,0.9566666483879089,0.5625,0.78125,1.9187792539596558,0.5333333611488342,1.0
3,0.9606666564941406,0.9927119612693787,4.999999873689376e-06,0.10477899014949799,0.9631367325782776,0.9580000042915344,0.5625,0.8125,1.7295637130737305,0.5333333611488342,1.0
4,0.9603333473205566,0.9930709600448608,4.999999873689376e-06,0.1008935272693634,0.9637340307235718,0.9566666483879089,0.5625,0.8515625,1.4681262969970703,0.5333333611488342,1.0
