epoch,accuracy,auc,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.8585000038146973,0.937845766544342,9.999999747378752e-05,0.3177505135536194,0.8990723490715027,0.8076666593551636,0.625,1.0,0.5213545560836792,0.5714285969734192,1.0
1,0.9393333196640015,0.9850666522979736,9.999999747378752e-05,0.15546050667762756,0.9446693658828735,0.9333333373069763,0.625,1.0,0.5452286005020142,0.5714285969734192,1.0
2,0.9536666870117188,0.9901492595672607,9.999999747378752e-05,0.12572430074214935,0.9554886221885681,0.9516666531562805,0.625,1.0,0.526789665222168,0.5714285969734192,1.0
3,0.9574999809265137,0.9924843907356262,4.999999873689376e-05,0.10989830642938614,0.9555260539054871,0.9596666693687439,0.6875,1.0,0.543001651763916,0.6153846383094788,1.0
4,0.9574999809265137,0.992384672164917,4.999999873689376e-05,0.11026468873023987,0.9601072669029236,0.9546666741371155,0.75,1.0,0.526827871799469,0.6666666865348816,1.0
